Sentence,NegPos
Finansal Piyasalarda şu an yaşadığımız dönemler de gelebilecek en küçük olumlu haber akışı fiyata etkisi çok büyük…  ,0
Tebrikler Ergin Ataman! ,0
Finansal özgürlüğünüze ulaştıracağını düşündüğünüz kripto paranın adını yorumlara yazınız! ,0
Bitcoin’nin doğası gereği yavaş yavaş yükselmez SERT ve HIZLI yükselir! ,0
Mal aldırmaz arkasından baktırmak ister…  ,0
Global piyasalar ve Bitcoin’de geri dönüş hareketleri gelecekse bu hafta gelecektir! (Görüşüm sabittir ralli bekle…  ,0
 Hayırlısı olsun başarılar dilerim. ,0
Herkese mutlu haftasonları ,0
Güzel günler göreceğiz güneşli günler! ,0
_tamac Hayırlısı olsun başarılarınızın devamını dilerim. Keyifle takip ediyorum  ,0
anlık 3.901 puan seviyesine ulaştı! ,0
Canlı Yayın esnasında 3.810 puan seviyesine kadar gerilemişti!  ,0
Bitcoin ve Altcoin yatırımcısı için önümüzde Haziran-Temmuz-Ağustos-Eylül ayını size betimlemek isterim! ,0
S&amp;P500 hakkında global medya organlarında P500 Ayı piyasasına girdi”haberleri servis edilir yatırımcıyı haftalık…  ,0
_turann NFT yapılır! ,0
Mal toplama döneminde dezenformasyon medya organlarının her bir çeşidinden piyasaya pompalanır! ,0
$LUNA krizinden m…  ,0
Bitcoin Ne olacak! ,0
ayı Piyasasına mı giriyor! ,0
Kritik canlı yayın! ,0
Bitcoin çaklılır ,0
Bitcoin batırır ,0
Bitcoin kaybettirir ,0
Evt kıymetli hocam  ,1
Bitcoin kaybettirir ,0
Evt kıymetli hocam  ,1
Bitcoin uçar ,1
Bitcoin efsanedir ,1
Nicole Buffett NFT Sanatına olan Fikrini ve Sevgisini Paylaşıyor ,1
Kripto para piyasalarının üzerindeki kara bulutlar bir türlü dağılmıyor. AAVE üç gün boyunca milyonlarca dolarlık… ,1
Paraguay Kripto Düzenleme Yasasını Onayladı ,1
Tahminlere göre Kripto Madencileri Rusya'daki Elektrik Tüketiminin % 2'sinden Fazlasını Oluşturuyor ,1
GalaxyCapital'den Mike Novogratz ABD Fed'in Sıkılaştırma Politikasını Duraklatmasıyla Bitcoin'in Bir Sonraki R… ,1
Amerika Birleşik Devletleri’nde üç Cumhuriyetçi Senatör Çin’in ürettiği CBDC e-CNY için uygulama mağazası yasağı… ,1
Rusya Uluslararası Anlaşmalar İçin Kripto Para Birimlerini Kullanmayı Düşünüyor ,1
Binance İtalya içerisinde faaliyet gösterebilmek için gerekli izinleri aldığını duyurdu. Kripto para borsası böyl… ,1
İsveç Merkez Bankası Bitcoin’in Para Birimi Olduğuna İnanmıyor ,1
BIT Mining İlk Çeyrekte Yüzde 40 Düşük Ciro Açıkladı ,1
Balenciaga BTC ve ETH Ödemelerini Kabul Edecek ,1
Kripto para borsası  yeni Ethereum tabanlı bir altcoin’i listeye aldığını duyurdu. Bu altco… ,1
STEPN Çinli kullanıcıları 15 Temmuz'a kadar engelleyecek. GMT ,1
Terra Luna 2.0 Güvenleri Tekrar Kazanabilecek Mi? ,1
EasyFi Blend GamyFi için 90 Günlük Sabit Stake Programı Sunuyor ,1
Tether'in USDT stablecoin'i Polygon'da piyasaya sürüldü ,1
Terra Topluluğu 13 Milyar UST Token Yakmak İçin Oy Verdi ,1
metaverse Kısa Vadede Önemli Kayba Neden Olacak ,1
 çok iyi bee Yöresel beatbox bu kötü piyasada biraz neşemiz yerine gelsin dedim ,1
 ahahaha çok iyi tespit hocam ,1
 cana geleceğine mala gelsin hocam tekrar geçmiş olsun,1
 hayırdır inşallah yoktur kötü birşey umarım,1
 işte seni takip etmemin sebeplerinden biri ,1
bide oradan geçireceğim diyosun  iyii  ,1
 Allah bağışlasın hocam evlat gibisi yoktur tüm stresi dertleri unutuyor insan ,1
30k bir aile oldugumuzda gizli profilden çıkacağım.,1
tünaydın bol kazançlı bir hafta olsun inşallah ,1
 çok geçmiş olsun dafim ,1
 hocam yine formunda  ,1
Günaydın gençler hayırlı huzurlu bir pazar olması dileğiyle ,1
günaydın hocam ,1
sakalımız yok diye nazımızda geçmiyor ,1
sendeki potansiyeli hepimiz biliyoruz abla ama gerek yok şimdi nazar felan değer ,1
all in $avax almışımdır. ,1
Selam gençler piyasa yine hacimsiz can sıkıcı. Her yaz olduğu gibi bu yazda piyasa hacimsiz olacak gibi ,1
Günaydınlar 19 Mayıs Atatürkü Anma Gençlik ve Spor Bayramımız kutlu olsun ,1 
Certik sertifika… ,1
Bitcoin kazandırır ,1
Bitcoin kesin azalır ,0
Bitcoin alçalır ,0
Ayrıca Antalya'da Her Yerde Naif Şekilde Ka… ,1
Boğa'da Kazandıklarımızı alıp kenara çekilseydik şimdi çok mutlu mesut degil miydik?,1
Boğa döngüleri en az 3 yıllık… ,1
İncelemenizi tavsiye ederim. ,1
$NTX coin  borsasının yerel Tokenidir. Borsanın Hedefi İlk 20 deki Borsalara Tokenlerini Sokmak. ,1
 Ay sonunda alım satıma açılacak şimdilik problem yok,1
İnsanların paraları sıfırlandı emeğiyle çalışarak kazanılan paraları buhar oldu.,1
Piyasada Her Zaman Ki Gibi.,1
Herkes  Güzel Bir Manzara Bıraksın Y… ,1
 Bunu sakladığımı kimse diyemez ki. ,1
Zarar ettigimizi kimse saklamıyor ama daha fazla… ,1
çok teşekkür ederim,1
Bir tek sen iyi takip ettin sanırım,1
Beklediğim 18-22k gelirse tepkiyi izler   hareket ederim.,1
Geri sayım takip edebileceğiniz link: ,1
PigeInu  2 saat içinde LBank'ta listeleniyor!,1
Son Dönemde En İyi Kar Ettiğimiz Gem ' Lerden Biri Oldu.,1
-Merkez Bankası Kararından Sonra DolarTL Hareketlendi. ,1
-Dolar Hedefini bu şekilde vermiştik 16.6 kırılımı gelirse… ,1
-Hayatım'da En çok Değer Verdiğim Mavevi Değeri Bilen Rastgele Bir Kişiye ,1
Ailesiyle Birlikte Bir Jest yapacağım … ,1
Bitcoin  'de 2025 'e Kadar Mega Boğa Yaşayacak ,1
-Bsc ağında HODL ettikçe BTC Ödülü Veren Bir Proje  Cmc başvurusu Yapıldı.,1
-Düşük Marcatcap bir… ,1
-Sorumluluk Sahibi  Planlarına Sadık Kişiler Bu Kötü Günleri Atlatacak. ,1
-Sürekli Al-Sat Yapan ve Marjinde Son Bir… ,1
 Öldürmeyen acı bizi güçlendirir hepimiz insanız hepimiz bu durumları yaşarız ama hep derim asla pes etmeyiz..,1
  Hakkımı yeme 4 oranı gorunce ben de yüklü girdim ,1
 Yine çoğunluğun beklentisini terse yatırdılar,1
 Kriptoda hacim olmayınca biz ,1
Çok üzücü haber.,1
Sürdürülemez $UST faizini ısrarla savunanların aldığı vebal çok fazla. ,1
Sadece gülüyorum,1
Yakında 500x koyarsam kızmak yok ama baştan net söylüyorum?,1
 gibi devlerin yatırım yaptığı bu projeyi de ön satışından mutlaka değerlend… ,1
İlk kez bir projenin sadece 55k$ initial mcap ile büyük borsalarla anlaştığını görüyorum… ,1
Açıklama samimi geldi.,1
RT : Ekip yürümeyen sadece mint yapan hesapları sevmiyordu çünkü uygulamanın amacına ters düşüyordu.  Çin tayfa ise sadece mint…,1
 Sen Çin'i savundun!!! ,1
move2earn'e karşı çok ön yargı var.,1
Bu doğru değil,1
$FITFI için de yazdıklarımı iletiyorum.,1
Bu tarz alım-satımlar… ,1
Ekip hatalı karar aldı.,1
Bu kırılgan piyasada bu tweete gerek yoktu.,1
Doğruya doğru yanlışa da yanlış demek lazım.,1
 Kimsenin zarar etmesini ben istemem ama kırılgan piyasada böyle bir sert habere bence gerek yoktu.,1
 Çok erken paylaşsam tek başıma 500m$ projeyi çökerttiğimi iddia eden sivri zekalı arkadaşlar da çıkacaktı… ,1
STEPN haberini paylaştığımda zaten %35 düşmüştü.,1
Burada sitem gösterecekseniz bana değil. ,1
Sert bir üslupla Çin'd… ,1
 İnsanlar rahatlasın diye yapmacık yorumlara gerek yok.,1
LUNA ve UST konusunda insanlar rahatlasın diye s… ,1
İddialara göre bu istek ve yaptırım Çin'den değil STEPN projesinden gelmiş ve uygulanmış.,1
Çin yasağı olmasa da i… ,1
Çin'den yeni bir yasak daha.,1
STEPN Çinli kullanıcılara,15 Temmuz itibariyle yasaklanacak.,1
Duyuru sonrası $GMT'de… ,1
RT :,1/25 Bugün market psikolojisi üzerine konuşmak istedim ve her zamanki gibi elimden geldiğince yüzeysel olmamasına gayr…,1
 Bak bunun altina imza atilir ,1
 Senin samimiyetinden suphesi olan yoktur guzel kardesim aynen devam..,1
 Haydi hayrlisi ,1
 Estagfurullah abi emegi takdir etmeyecegiz de neyi takdir edecegiz?  tebrik ederim yolunuz acik olsun ,1
 Super haber umarim en kisa zamanda deneyebiliriz ,1
  Bu kadar is yapip bu kadar az bilinen bir proje daha yoktur herhalde ,1
  Hele bir hafta acilsin bakacagiz,1
 Hayirli olsun Tarik algoritmalarin tradingteki agirligi her gecen gun artiyor. Yabanci 2 tane bot tr… ,1
  cryptosocyde paylasılan lınkler ıle her zaman ızleyebılırsınız,1
Özellikle Ekip Gelecek Vizyonu ve Token Ekonomisi konularında çok başarılı bulduğum  projesini orta ve… ,1
 BTC arzının karlılık oranının %55 olması bize ne anlat…,1
cryptosocy  Bitcoin cryptocurrency ,1
RT 1dk'da haftanın en önemli haberinin Bitcoin 'e etkisini öğrenin! ,1
Bitcoinin düşüşü hisse piyasalarındaki düşüşün ,1
 ABD'de enflasyonun düşüş trendine girmesi ne if… ,1
RT _TR: Tahmini Kaldıraç Oranı en yüksek bölgesine ulaştığında vadeli piyasada hangisi daha olası?  ,1
Canlı grafik  ,1
Asıl önemli olan mum ise “Haftalık grafik mumlarında” Ayın,16 sında açılacak ve  23 ünde kapanacak olan mumdur.Her… ,1
BTC Merhaba değerli dostlarım.İkinci seçenek gerçekleşti.Bu durumda “günlük grafik mumlarında” bir sonraki kritik… ,1
Ekibim ile 1 adet belirsiz mumun tetikleyeceği yönün ilk ihtimal yani yukarı yönlü kur davranışı sergileyeceği bek… ,1
Şayet aşağı yönlü değerlendirecek olur isek ayın 9 una kadar böyle bir kur davranışı hareketi potansiyeli ile karşı… ,1
Günlük mumlarda ayın 9 una kadar yukarı yönlü Sarı çerçeve içerisine aldığım bölgede olduğu gibi bir kur davranışı… ,1
BTC Merhaba değerli dostlarım Günlük mum grafiklerinde kritikbelirsiztetikleyici mumumuz dün ki mum idi.Bir so… ,1
1 mumluk hata belirsizlik payı için hepsi birbirinden değerli,12 sevgili dostumuz ile bir grup kurduk ve çalışıyoru… ,1
40.400 üzeri bir test yaşamaz isek Mayıs 5 e kadar sürecek aşağı yönlü bir dalga daha gerçekleşme potansiyeli olaca… ,1
Btc için Mayıs 5 e kadar iki yönlü potansiyelleri paylaşacağım.Btc… ,1
Şimdi bundan sonraki kritik ve bir kırılımı tetikleyecek mum gece 03:00 da açılacak olan 4 saatlik mumdur.Bu mum ya… ,1
Sonuç olarak saat,11:00 da açılan mum ile az evvel kapanan 4 saatlik,19:00 mumu arasında toplamda,1450$ lık volatil… ,1
BTC Bugün saat,11:00’da açılan 4 saatlik mumun kritik olacağını ve saat,19:00 da açılacak 4 saatlik muma kadar yap… ,1
Hep birlikte gözlemleyip hangisi olacağını göreceğiz.Sevgiler,1
Saat 9:00 da açılacak olan 4 saatlik mum  şuan ki seviyenin altında olur ise 11:00 de açılmış olan 4 saatlik mumun… ,1
Bu mum bize 4 saatlik grafiklerde saat,19:00 a kadar olan yatırımlarımız için kritik olan mum ve kapatmasına yaklaş… ,1
BTC Saat,11:00 de açılacak olan 4 saatlik grafik mumunun kritik ve belirsizliğinden bahsetmiştikmum açıldığından… ,1
Bitcoin aşağı yönlü düşüşte ! ,0
Bitcoin varsa elinizde acilen satın ,0
 Evet değerli dostum ayrı bir teor 1-5-9 bize ne yazık ki günü gününe kırılımı vermiyor.Lakin bu keşif biz… ,1
Örneğin 4 saatliklerde kritik olan mum saat,11:00 da yanacak mum olacak.Burada amaç saat,11:00 için işaret ettiğim… ,1
Saatini paylaştığım mumlar henüz belirsizliğini çözemediğim mumlar olacak.Bu mumlar ya bir kırılımın tetikleyicisi… ,1
BTC Merhaba değerli dostlarım.Bildiğiniz üzere yeni bir keşif (trade yöntemi) üzerine çalışıyorum.Daha evvelde bel… ,1
The more people sell their Bitcoin against a loss the bigger the next run-up will be... ,1
Bitcoin is about to close a 9th consecutive weekly red candle in a row! ,1
Bitcoin Fear at ATHs...  ,1
Bitcoin will move big SOON! Fasten your seatbelts!  ,1
BITCOIN WEEKLY FALLING WEDGE!  ,1
222K FOLLOWERS! ,1
Bitcoin looks like a stable coin... ,1
Bitcoin is still trading in our sideways channel!  ,1
Bitcoin is so boring… ,1
GOOD MORNING CRYPTO!,1
Bitcoin is a long-term investment.,1
Historical good buy signal for Bitcoin  ,1
Bitcoin whales are buying...  ,1
Buy Bitcoin and never look back.,1
Bitcoin Falling Wedge Breakout!  ,1
 Umudunu Kaybetme olurdu nettt ,1
_COiN72 YTD ,1
Bitcoin çaklılır ,0
Bitcoin batırır ,0
Bitcoin kaybettirir ,0
Elinizdekini satın ,0
Adana sıcağı bi yandan Bitcoin in derdi bi yandan çekilmez oldu vallahi .,1
Coin Shilleme postu yatırım tavsiyedir alın aldırın tutun saklayın dediğiniz coin varmı herkesi bekliyorum .  Btc,1
_catmark shortculara kolay ekmek yedirmezler artık,1
Bu gece haftalık kapanışa doğru Bitcoin den bir atak bekliyorum 31.600$ üzeri gece 03:00 kapanışı yapması önünüzde… ,1
Şu resmi analiz edip MEGA BOĞA gelecek diyen fenomenler görüyorum . . . Bitcoin ,1
Başarılarınız daim olsun hocalarım . ,1
Nerdesiniz dostlar  Btc,1
 _official durumun özeli de kalmadı sanırım . ,1
Iota Destek altına sarkmıştı tekrar  üzerinde btc  ,1
_line geçmiş olsun,1
Binance Vadeli işlemler çöktü diyorlar??,1
Balinalar çekiliyor ,0
 Geçmiş olsun hocam,1
 Jesscoin is here ,1
 Cz gaz verir yakında. Biz aldık diye düşürdü namuzsuz.,1
 Tüm coinlerimiz güçlü. Yeri geldiğinde hepsinden kar edeceğiz.,1
 Süpersin.,1
Olumsuz yönde gidişat var ,0
 Bizim Coin olduğu için. Hepsi sırası ile yükselecek.,1
 RUNE 5 kere %100 yaptı. Suyunu sıktık.,1
 Real madrid sonuna kadar haketti.,1
Mutlu Pazarlar Can Dostlar. ,1
Kimlerde $BEL Coin var. ,1
Bitcoin kırmızı yönde ilerliyor ,0
Bu kötü piyasada bile kendini toparlamaya çalışıyor. Gayreti… ,1
Kazanan RealMadrid ,1
Bitcoin tek hayatımız değil.,1
Bitcoin satmalısınız ,0
LUNC Organize işler devam ediyor.   ,1
_Mann Tükettiğin Gıdaya yansıyor maalesef.,1
Allah cümlemize sabır versin.!,1
Zamlar artık saatlik periyotlarda yapılıyor Mazot ve Benzin 25 TL oldu.!,1
Herşeye Zam Altcoinlere indirim!  ,1
Günaydınlar ,1
Bitcoin kırmızı yönde olumsuz ,0
BNB Chain Hacettepe üniversitesi ev sahipliğinde 31 Mayıs,13:00'da öğrenci ve geliştiriciler ile buluşuyor.… ,1
Hesap başı dağıtımlar ise daha sonra borsalar aracılığı ile duyurulacaktır.,1
LUNA ve UST Borsa İsimleri değiştiriliyor. Bu sebeb ile alım satımlar askıya alındı.,1
LUNA=LUNC ve UST=USTC isimle… ,1
 Böyle giderse tüm coinleri desteklemek zorunda kalacaksınız. ,1
_Turkish $GAL ve $THETA da alabiliyormuyuz?,1
Sigara alkol vb kötü alışkanlıkların yerine hız kesmeden altcoin birikimi yapmaya devam edin dostlar. Yeni boğada… ,1
Evet ekibinle 100$'e dolar atesle unut hocam ,1
Hayırlı işler pavyonda ezelim,1
Güzel iş. Tebrik ederim. $MNG ,1
Stake'ler tamamlansın _app çok sağlam geliyor  ,1
desteğiyle çok büyük bir hype yaşanacak. Marketi… ,1
An itibariyle yatırdığım 350$ şuan 1400$ olmuş durumda. Ana parayı bozdum ve kalan bakiyeyle devam. Teşekkürler… ,1
İşte akıllı trader farkı ,1
Bu tarz gem projelerde kazançta yüksek riskte yüksektir. Hesap sorarım falan muhtemel… ,1
25x yapmadan satmam ,1
Arkadaşlar  gem projeler konusunda çok başarılıdır. Paylaştığı proje yepyeni bir MoveToEarn ve güzel duruyo… ,1
MoveToEarn hmm alırım bi dal deneyelim bakalım reis sağol ,1
Takip ettiğiniz yeni altcoin gem projeleri yazın bakalım dostlar.   ,1
Bitcoin boğaları devrede! ,1
Tüm yorumları tek tek okuyup projeleri mutlaka… ,1
En son Bybit'te listelenen $SFUND kibi sıkı çalışmaya devam ediyor.  ,1
$KCT bu piyasa koşullarına rağmen x10 yaptı. Kazananları tebrik ederim.  ,1
_trader Geçmiş olsun hocam ,1
 Sanmam böyle bir şey olacağını.,1
Yeter artık.  ,1
Yükselişe geçer bence ,1
Yukarı taraflı gidebilir ,1
 Küfür çok fazla be abi. Daha az olabilirdi. ,1
Genel olarak diziyi beğendim. Oyuncuların performansı iyiydi.… ,1
Bitcoin’de 28.000 desteği çok fazla test edildi. Bu kadar test edilmesini olumlu bulmuyorum.   ,1
Haftalık TD verileri… ,1
Türkiye Cumhuriyet Merkez Bankası faizi sabit tuttu,1
$YFII 5 saatte,1227’den 320’ye düşüş yaşadı. Şuanda 609$ seviyelerinde yer alıyor. ,1
Düştü diye direk alım yapmak ri… ,1
Bekleniyosun:),1
Twitteri biraz boşladığımın farkındayım. 2 gündür RSI twiti atıcam dedim bi türlü hazırlayamadım. Yarından itibaren… ,1
YouTube üzerinden bunların videolarını izleyebilirsiniz ,1
Piyasa şuan iyi mi?:),1
Tek başına kullanılması doğru olmaz. 3-4 indikatörle beraber doğru sonuç verme olasılığı yüksektir.,1
Ahaha çayımızı içmeye gel  çalışmayı boşver :),1
Günaydın arkadaşlar bugün biraz RSI ve grafik değerlendirmesi yapalım diyorum ne dersiniz :),1
Temennimiz yeşil bölgeye test sonrasında düzeltme yapması umarım bu yönde olur :),1
Günaydın dostlar  ,1
Fırsat bu fırsat yükselir ,1
Bitcoin Yükselen kanalı aşağı yönlü kırmıştı fakat mum kapanışını kanal içerisinde yaptı. Bu se… ,1
 Hayırlı olsun başarılarının devamını dilerim,1
_Trader Eyvallah kardeşim her zaman beklerim ,1
 Hakan kardeşim sağ olsun yalnız bırakmadı:),1
Büyük artış olacak ,1
Bitcoin Artıcak ,1
Bitcoin artacak ,1
 Konu tartışmak değil. Bu twitler yüzünden Şimdide herkes dipten almış onun paylaşımını yapıyor.,1
Varsa bir hayırlı olsununuz alırım   ,1
Allah utandırmaz inş. ,1
Yatırımcılar doğru hamleler için hangi açıklamalara odaklanmalı?…,1
Günaydın dostlar iyi pazarlar Bugün biraz kendinize vakit ayırınız,1
shib shibarmy luna terra,1
Huobi Global 30 Mayıs’ta Aavegotchii $GHST listeleyeceğini duyurdu.  ,1
Kommunitas ile 2 Haziran'da Twitter Space'de AMA gerçekleştireceğiz. Hem ilk AMA hem ilk…,1
BTC büyü falan değil ya sadece şans :d ,1
fakir _ Sen tamamla işte,1
Alalım mı satalım mı ne diyon hoca onu söyle sen,1
KuCoin ayrıca Terra ($LUNA) ve TerraUSD… ,1
Neden almasın sonuçta kazanan kendisi oluyor her şekilde ,1
Bakalım yapacakmı bişeyler. ,1
BTC Bitcoin   ,1
Düşüşün devamı öncesi 34k veya daha yukarı koyu alan bölgemize bir temas bekliyorum açıkcası.  ,1
Bugün… ,1
Boğalar girdi ,1
Bugün bitcoin hypelandı ,1
Güzel likidite almış denemek isterseniz ozellikle vadelide mutlaka stoplu  ,1
İyidir abim teşekkür ederim,1
Hayırlı pazarlar ,1
Yeşil yönde gidişat var ,1
Yeşillik gözüktü ,1
lık kitap keşke yetse ama maalesefki tecrübe etmek gerekiyor tecrübe ise biraz pahalı oluyor.,1
Allah kurtarsın  ,1
Aleni bir soygun yapıldı ama… ,1
Bu luna işi yılan hikayesimi oldu cepleri bosaltma operasyonumu.,1
Normalde kumarbazım biraz kesin bulaşırdımda be… ,1
2525 _binance Ben twit atında düzelttiler ,1
Binance futures tarafında sıkıntımı var sanırım _binance yine bir soygun peşinde yani doymadı şerefsizler milleti soymaya.,1
Portoken;Reklam veren ve reklam alan oyun studiolarını aynı çatıda toplayıp,1
Güzel likidite almış denemek isterseniz ozellikle vadelide mutlaka stoplu  ,1
Allah razı olsun ,1
1$ ken kaçırdım diye üzülmüştüm ama şimdi biraz spottan alıp tutmayı düşünüyorum az bir miktar alıcam ve %20-30 luk… ,1
Hoca deme be Erge. Hasan de abi de hoca deme. Şu hoca kavramına nasıl kıl oluyorum. Takipçisi olan hoca… ,1
Erge vadeli işleme çok sıcak olmayan biri olarak yaptığın işlemlerin şeffaflığı ve yüzdelik başarısını… ,1
RT _temel_: Tekrar güvenip yükselir diye Yeni Luna alır mısınız?,1
temel_ Kesinlikle alınmasına karşıyım. Yeni luna alınması bu sistemle insanları çarpan adamları ödüllendirmektir.,1
avax şu an için yok ama sebdiğim coinlerden avax ve ftm. alt coin alacaksam ilk bu 2 co… ,1
Ne zaman aldınız,1
Aynen brom. Aleni hırsızlık var ortada.,1
13 Hepsi etkilenir. Eth yapılırsa alt coinler resetlenir. Ben eth ve Btc dışı coin alımlarına uzağım bira… ,1
Lunc olarak sana gönderecekler. İsmini değiştirip,1
Ben zaten Btc ve eth dışı çok gazla coin alan kısımda değilim. Bunun sebeplerini açıkladım,1
Ben luna yatırımcısı değildim ama bu yapılana karşı sinirlerim bozuldu. Böyle aleni dolandırıcılık… ,1
Bybit borsasından luna new coine baktım 16 dolar luna Classic 0.0001  ,1
bende 70 bin kadar luna var. lazım olursa yaz.,1
Bitcoin haftalık bazda son 8 haftayı kırmızı mumla kapattı!  ,1
Bugün 9. Hafta kapanışı gerçekleşecek Bitcoin 31.340$… ,1
Bitcoin toplayın artacak,1
Kimler ister?,1
Bitcoin olumlu ilerliyor,1
Binance USDT Vadeli işlemleri askıya alınışı tesadüf müdür göreceğiz!  ,1
Genellikle trend değişimi dönemlerimde Long… ,1
Global Piyasalar Cuma gecesi haftalık kapanışlarını yaparlar!  ,1
$LUNA 42 milyar dolar piyasa değerine sahipti ve hiç etti!   ,1
Kripto Markette 18.000 adet coin var seç beğen al!  ,1
ABD Borsaları ve Bitcoin kısa-orta-uzun vade fiyat senaryosu Fed faiz politikası Altcoin ne zaman alır ne zaman… ,1
Herkese mutlu haftasonları  ,1
Bitcoin yeşil alanda ,1
Güzel günler göreceğiz güneşli günler!,1
Kurumsal şirketler hangi altcoin projelerine yatırım yapıyor adlı flood'u paylaştım. ,1
Yanına bonus olarak Coinbase… ,1
İyi bir indi… ,1
Grayscale fonu ile coinbase arasında ki listelemeleri yakından takip etmeninizi öneririm. İlk olarak Grayscale… ,1
Kurumsal yatırımcıların ayak izlerini takip etmek finansal özgürlük için bir metottur. Büyük fonları olan şirke… ,1
Paylaştığım listede ki altcoinlere yakından takip etmenizi öneririm. Coinbase listelemesi ile listelenen proje… ,1



